song_name,duration,artist,album,album_cover,played_at
How to Save a Life,262533,The Fray,How To Save A Life,https://i.scdn.co/image/ab67616d0000b27359b8b957f164ce660919f1f4,2022-06-19T19:32:34.646Z
Me Hace Falta (Cap. 2),225834,Siddhartha,MEMORIA FUTURO,https://i.scdn.co/image/ab67616d0000b27314590d27fe98d0f4d8f344ed,2022-06-19T19:28:11.041Z
Be Real,226222,Rasmus Faber,Be Real,https://i.scdn.co/image/ab67616d0000b2732335ac60776a03a541abea82,2022-06-19T19:24:24.512Z
Paraíso Lunar,225104,Siddhartha,Paraíso Lunar,https://i.scdn.co/image/ab67616d0000b273b75ac3c92bdebbe5728a7600,2022-06-19T19:17:24.391Z
Calle Melancolia,266266,Joaquín Sabina,Esencial Joaquin Sabina,https://i.scdn.co/image/ab67616d0000b273804bd13af1c00996973b1929,2022-06-19T17:09:47.379Z
Running Up That Hill (A Deal With God) - 2018 Remaster,300840,Kate Bush,Hounds of Love (2018 Remaster),https://i.scdn.co/image/ab67616d0000b2735c390e413e27798edd4d18b4,2022-06-19T23:22:44.696Z
LA CANCIÓN,242573,J Balvin,OASIS,https://i.scdn.co/image/ab67616d0000b2734891d9b25d8919448388f3bb,2022-06-20T03:37:59.639Z
Glimpse of Us,233456,Joji,Glimpse of Us,https://i.scdn.co/image/ab67616d0000b273f798d46201c266747be5db2e,2022-06-20T03:33:51.391Z
Un Verano Sin Ti,148143,Bad Bunny,Un Verano Sin Ti,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,2022-06-20T01:44:38.020Z
Demasiadas Mujeres,153960,C. Tangana,El Madrileño,https://i.scdn.co/image/ab67616d0000b273a408c78e231f716383a58eb3,2022-06-20T01:42:09.550Z
"Hold On, We're Going Home",227880,Drake,Nothing Was The Same (Deluxe),https://i.scdn.co/image/ab67616d0000b273adfb5909ec66db5fbb4d06c8,2022-06-20T01:39:26.071Z
Ingobernable,187053,C. Tangana,El Madrileño,https://i.scdn.co/image/ab67616d0000b273a408c78e231f716383a58eb3,2022-06-20T01:30:07.205Z
The A Team,258373,Ed Sheeran,+,https://i.scdn.co/image/ab67616d0000b273ed139c2e0e3681cc2d35e256,2022-06-20T01:24:36.599Z
Procedimientos para Llegar a un Común Acuerdo,194160,PXNDX,Amantes Sunt Amentes,https://i.scdn.co/image/ab67616d0000b273bcf00b6bf2045d79c5520334,2022-06-20T01:20:11.002Z
Wildest Dreams (Taylor's Version),220433,Taylor Swift,Wildest Dreams (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273eb10050f6fe8e2783a91a4b1,2022-06-20T01:14:12.594Z
Somewhere Only We Know,237146,Keane,Hopes And Fears,https://i.scdn.co/image/ab67616d0000b2737d6cd95a046a3c0dacbc7d33,2022-06-20T01:10:32.054Z
Adiós,233746,Gustavo Cerati,Ahí Vamos,https://i.scdn.co/image/ab67616d0000b273d543f7c7de880da5370922c0,2022-06-20T01:03:08.047Z
Stupid Things,229373,Keane,Cause And Effect (Deluxe),https://i.scdn.co/image/ab67616d0000b2738b6cef4368932767cf21c6be,2022-06-20T00:55:51.651Z
Ophelia,160097,The Lumineers,Cleopatra,https://i.scdn.co/image/ab67616d0000b273e4c3db3e7ebfc22bc080f334,2022-06-20T00:50:33.117Z
Perfect,277026,Simple Plan,"No Pads, No Helmets...Just Balls (15th Anniversary Tour Edition)",https://i.scdn.co/image/ab67616d0000b2737e973b97ebe64cabf8e3dfa0,2022-06-20T00:47:52.788Z
Just,234800,Radiohead,The Bends,https://i.scdn.co/image/ab67616d0000b2739293c743fa542094336c5e12,2022-06-20T00:43:15.584Z
Nagano,183813,CLUBZ,Destellos,https://i.scdn.co/image/ab67616d0000b2734bcda62d02abaa5a2c847689,2022-06-20T00:39:19.670Z
Fix You,295533,Coldplay,X&Y,https://i.scdn.co/image/ab67616d0000b2734e0362c225863f6ae2432651,2022-06-20T00:36:15.839Z
Everlong,249986,Foo Fighters,Greatest Hits,https://i.scdn.co/image/ab67616d0000b273136d7250568820409f8fdd60,2022-06-20T00:29:13.827Z
Suburbios,259827,Siddhartha,00:00,https://i.scdn.co/image/ab67616d0000b2734d7f05e6a9b26e981e9ac3ac,2022-06-20T00:25:03.557Z
All The Stars (with SZA),232186,Kendrick Lamar,Black Panther The Album Music From And Inspired By,https://i.scdn.co/image/ab67616d0000b273c027ad28821777b00dcaa888,2022-06-19T23:25:27.828Z
Glimpse of Us,233456,Joji,Glimpse of Us,https://i.scdn.co/image/ab67616d0000b273f798d46201c266747be5db2e,2022-06-20T05:05:30.708Z
"My Heart Will Go on (From ""Titanic"") - Piano Version",258983,Patrik Pietschmann,"My Heart Will Go on (From ""Titanic"") [Piano Version]",https://i.scdn.co/image/ab67616d0000b2730ddc69d587b616d42b6601d0,2022-06-20T05:01:07.314Z
